Title,Item Description,Hyperlink,Date,Contributor
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),Cats used in experiments,: 1984,"Gotfryd, Bernard"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),Cats used in experiments,: 1984,"Gotfryd, Bernard"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),Cats used in experiments,: 1984,"Gotfryd, Bernard"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),Cats used in experiments,: 1984,"Gotfryd, Bernard"
"Schermerhorn cat, portrait photograph",1 negative : nitrate ; 4 x 5 in. or smaller.,"Schermerhorn cat, portrait photograph",: 1928,"Genthe, Arnold"
Study of a cat,"1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer.",Study of a cat,: 1910,"Genthe, Arnold"
[Black cat in garden],"1 drawing : watercolor, gouache, and ink over graphite underdrawing. | Drawing shows a black cat walking stealthily through a garden full of brightly colored flowers.",[Black cat in garden],: 1960,"Steig, William"
"Clicker training for cats /
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",,Clicker training for cats /,: 2001,"Pryor, Karen"
Cats at play,"1 transparency : autochrome, color ; 8 x 10 in.",Cats at play,: 1900,"Lambert, Louis-Eugene - Glover, L. S. (Lycurgus S.) - Detroit Publishing Co."
[Cats at play],1 transparency : glass ; 8 x 10 in.,[Cats at play],: 1900,"Lambert, Lewis Eugene - Detroit Publishing Co."
"Cat Island, July 1935",1 photographic print.,"Cat Island, July 1935",: 1935,"Lomax, Alan"
"Cat Island, July 1935",1 photographic print.,"Cat Island, July 1935",: 1935,"Lomax, Alan"
[Cats with cauldron],1 print : chromolithograph ; sheet 92 x 122 cm. or less.,[Cats with cauldron],: 1901,
[Dressing up the cat],1 drawing : wash.,[Dressing up the cat],: 1888,"Shepherd, Jessie"
The diseases of the cat,Also available in digital form.,The diseases of the cat,: 1901,"Hill, John Woodroffe"
Roger Benfield Cates Collection,"Sergeant, Army, Vietnam War, 1961-1975 - Cu Chi, Vietnam.",Roger Benfield Cates Collection,: 1966,"National Veterans History Archival Institute (Nvhai) - Cates, Roger Benfield - Milidonis, Dave"
Raymond Louis Cates Collection,"E-6, Marine Corps, Cold War.",Raymond Louis Cates Collection,: 1961,"Leblanc, William - Cates, Raymond Louis - Boy Scouts of America"
